[18:45:26.685 INF] [T:1] [Rank] Logger setup was successful: Rank
[18:45:26.827 DBG] [T:1] [Rank] Discover commands: [3003, 3002, 3001, 3000, 1000]
[18:45:26.829 INF] [T:1] [Rank] The server Rank is initialized.
[18:45:27.228 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1, rank=2, score=30, isRewarded=false, item=[0:0:70]
[18:45:27.228 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=2, rank=1, score=40, isRewarded=false, item=[0:0:100]
[18:45:27.228 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1000001, rank=3, score=10, isRewarded=false, item=[0:0:50]
[18:45:27.228 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/12, uid=1000001, rank=1, score=30, isRewarded=false, item=[0:0:100]
[18:45:27.242 INF] [T:1] [Rank] [Daily] Season loaded. kind="Daily", num=71, state="Running", start="2026-01-30T06:00:00.0000000+09:00", end="2026-01-31T06:00:00.0000000+09:00"
[18:45:27.244 INF] [T:1] [Rank] Listener (0.0.0.0:20000:"Tcp") was started.
[18:45:27.247 INF] [T:1] [Rank] The server instance Rank was been started!
[18:45:27.292 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1, rank=2, score=30, isRewarded=false, item=[0:0:70]
[18:45:27.292 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=2, rank=1, score=40, isRewarded=false, item=[0:0:100]
[18:45:27.292 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1000001, rank=3, score=10, isRewarded=false, item=[0:0:50]
[18:45:27.292 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/12, uid=1000001, rank=1, score=30, isRewarded=false, item=[0:0:100]
[18:45:27.387 INF] [T:12] [Rank] [Daily] Next season scheduled. kind="Daily", num=72, start="2026-02-02T00:00:00.0000000+00:00", end="2026-02-03T00:00:00.0000000+00:00"
[18:45:35.090 DBG] [T:8] [Rank] A new session connected. sessionId=06e452bc-baba-45a0-a64a-dd0ef2bcbef8, remoteEndPoint=127.0.0.1:58636
[19:01:56.835 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:01:55.835Z CPU=0.0% WS=73.09MB Managed=192.75MB Threads=32
[19:02:26.835 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:02:25.836Z CPU=0.0% WS=73.36MB Managed=193.79MB Threads=34
[19:02:56.835 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:02:56.835Z CPU=0.0% WS=73.36MB Managed=194.82MB Threads=32
[19:03:26.836 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:03:25.836Z CPU=0.0% WS=73.36MB Managed=195.77MB Threads=32
[19:03:56.836 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:03:55.836Z CPU=0.0% WS=73.45MB Managed=196.77MB Threads=34
[19:04:26.836 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:04:25.837Z CPU=0.0% WS=73.42MB Managed=197.77MB Threads=33
[19:04:56.836 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:04:55.836Z CPU=0.0% WS=73.41MB Managed=198.76MB Threads=32
[19:05:26.837 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:05:25.837Z CPU=0.0% WS=73.50MB Managed=199.78MB Threads=33
[19:05:56.836 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:05:55.836Z CPU=0.0% WS=73.55MB Managed=192.89MB Threads=32
[19:06:26.837 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:06:26.837Z CPU=0.0% WS=73.59MB Managed=193.94MB Threads=33
[19:06:56.838 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:06:56.837Z CPU=0.0% WS=73.58MB Managed=194.95MB Threads=33
[19:07:26.837 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:07:25.837Z CPU=0.0% WS=73.58MB Managed=195.90MB Threads=32
[19:07:56.837 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:07:55.838Z CPU=0.0% WS=73.67MB Managed=196.91MB Threads=33
[19:08:26.837 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:08:25.838Z CPU=0.0% WS=73.70MB Managed=197.92MB Threads=34
[19:08:56.838 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:08:55.838Z CPU=0.0% WS=57.75MB Managed=198.91MB Threads=32
[19:09:26.838 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:09:25.838Z CPU=0.0% WS=54.03MB Managed=199.94MB Threads=33
[19:09:56.838 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:09:55.837Z CPU=0.0% WS=61.80MB Managed=193.10MB Threads=32
[19:10:26.836 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:10:25.837Z CPU=0.0% WS=61.30MB Managed=194.11MB Threads=33
[19:10:56.836 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:10:55.836Z CPU=0.0% WS=60.69MB Managed=195.09MB Threads=32
[19:11:26.836 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:11:25.836Z CPU=0.0% WS=61.59MB Managed=196.09MB Threads=33
[19:11:56.836 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:11:55.836Z CPU=0.0% WS=66.06MB Managed=197.09MB Threads=32
[19:12:26.836 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:12:25.836Z CPU=0.0% WS=66.38MB Managed=198.08MB Threads=32
[19:12:56.837 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:12:56.836Z CPU=0.0% WS=66.33MB Managed=199.10MB Threads=32
[19:13:26.836 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:13:25.836Z CPU=0.0% WS=67.30MB Managed=200.07MB Threads=32
[19:13:56.837 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:13:55.836Z CPU=0.0% WS=67.70MB Managed=193.21MB Threads=33
[19:14:26.837 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:14:25.836Z CPU=0.0% WS=70.28MB Managed=194.19MB Threads=32
[19:14:56.836 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:14:55.837Z CPU=0.0% WS=71.09MB Managed=195.19MB Threads=32
[19:15:26.837 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:15:25.836Z CPU=0.0% WS=69.39MB Managed=196.19MB Threads=33
[19:15:56.838 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:15:55.836Z CPU=0.0% WS=70.75MB Managed=197.21MB Threads=33
[19:16:26.837 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:16:25.837Z CPU=0.0% WS=71.62MB Managed=198.21MB Threads=32
[19:16:56.836 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:16:56.836Z CPU=0.0% WS=72.25MB Managed=199.25MB Threads=32
[19:17:26.837 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:17:25.838Z CPU=0.0% WS=72.31MB Managed=200.20MB Threads=32
[19:17:56.838 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:17:55.837Z CPU=0.0% WS=71.78MB Managed=193.36MB Threads=32
[19:18:26.838 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:18:25.837Z CPU=0.0% WS=71.97MB Managed=194.37MB Threads=34
[19:18:56.837 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:18:55.839Z CPU=0.0% WS=67.05MB Managed=195.37MB Threads=32
[19:19:26.838 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:19:25.837Z CPU=0.0% WS=54.81MB Managed=196.39MB Threads=34
[19:19:56.838 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:19:55.838Z CPU=0.0% WS=57.80MB Managed=197.40MB Threads=32
[19:20:26.838 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:20:25.839Z CPU=0.0% WS=58.58MB Managed=198.39MB Threads=32
[19:20:56.838 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:20:55.838Z CPU=0.0% WS=59.52MB Managed=199.36MB Threads=32
[19:21:26.839 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:21:25.838Z CPU=0.0% WS=60.45MB Managed=200.35MB Threads=32
[19:21:56.838 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:21:55.837Z CPU=0.0% WS=64.66MB Managed=193.49MB Threads=32
[19:22:26.839 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:22:25.839Z CPU=0.0% WS=64.41MB Managed=194.48MB Threads=32
[19:22:56.839 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:22:55.839Z CPU=0.0% WS=64.55MB Managed=195.46MB Threads=33
[19:23:26.839 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:23:26.839Z CPU=0.0% WS=62.88MB Managed=196.52MB Threads=33
[19:23:56.840 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:23:55.839Z CPU=0.0% WS=62.86MB Managed=197.49MB Threads=35
[19:24:26.839 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:24:25.840Z CPU=0.0% WS=62.81MB Managed=198.51MB Threads=34
[19:24:56.840 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:24:55.839Z CPU=0.0% WS=62.80MB Managed=199.53MB Threads=33
[19:25:26.839 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:25:25.839Z CPU=0.0% WS=63.17MB Managed=200.56MB Threads=36
[19:25:56.840 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:25:55.839Z CPU=0.0% WS=63.23MB Managed=193.75MB Threads=33
[19:26:26.839 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:26:25.840Z CPU=0.0% WS=63.25MB Managed=194.76MB Threads=33
[19:26:56.839 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:26:55.840Z CPU=0.0% WS=63.27MB Managed=195.78MB Threads=33
[19:27:26.839 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:27:25.840Z CPU=0.0% WS=64.89MB Managed=196.79MB Threads=33
[19:27:56.841 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:27:55.840Z CPU=0.0% WS=64.92MB Managed=197.82MB Threads=35
[19:28:26.840 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:28:25.840Z CPU=0.0% WS=64.89MB Managed=198.84MB Threads=34
[19:28:56.840 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:28:55.840Z CPU=0.0% WS=64.88MB Managed=199.84MB Threads=33
[19:29:26.841 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:29:25.841Z CPU=0.0% WS=55.88MB Managed=200.88MB Threads=34
[19:29:56.840 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:29:55.841Z CPU=0.0% WS=63.30MB Managed=194.03MB Threads=34
[19:30:26.840 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:30:25.840Z CPU=0.0% WS=63.67MB Managed=195.08MB Threads=34
[19:30:56.840 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:30:55.841Z CPU=0.0% WS=64.59MB Managed=196.09MB Threads=33
[19:31:26.840 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:31:25.841Z CPU=0.0% WS=64.83MB Managed=197.09MB Threads=32
[19:31:56.841 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:31:55.842Z CPU=0.0% WS=65.42MB Managed=198.11MB Threads=33
[19:32:26.842 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:32:25.841Z CPU=0.0% WS=54.44MB Managed=199.15MB Threads=33
[19:32:56.842 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:32:55.841Z CPU=0.0% WS=56.08MB Managed=200.17MB Threads=33
[19:33:26.842 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:33:25.842Z CPU=0.0% WS=61.62MB Managed=193.33MB Threads=33
[19:33:56.841 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:33:55.842Z CPU=0.0% WS=64.05MB Managed=194.35MB Threads=33
[19:34:26.842 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:34:25.842Z CPU=0.0% WS=64.25MB Managed=195.35MB Threads=33
[19:34:56.842 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:34:55.842Z CPU=0.0% WS=64.48MB Managed=196.36MB Threads=33
[19:35:26.843 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:35:25.843Z CPU=0.0% WS=64.70MB Managed=197.36MB Threads=33
[19:35:56.842 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:35:55.843Z CPU=0.0% WS=64.98MB Managed=198.39MB Threads=33
[19:36:26.843 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:36:25.842Z CPU=0.0% WS=64.98MB Managed=199.40MB Threads=33
[19:36:56.850 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:36:55.858Z CPU=0.0% WS=64.98MB Managed=200.41MB Threads=34
[19:37:26.843 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:37:25.844Z CPU=0.0% WS=72.23MB Managed=192.92MB Threads=33
[19:37:56.844 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:37:55.842Z CPU=0.0% WS=72.38MB Managed=193.93MB Threads=33
[19:38:26.844 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:38:26.844Z CPU=0.0% WS=72.39MB Managed=194.97MB Threads=33
[19:38:56.844 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:38:55.843Z CPU=0.0% WS=72.38MB Managed=195.96MB Threads=32
[19:39:26.844 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:39:25.845Z CPU=0.0% WS=72.38MB Managed=196.96MB Threads=32
[19:39:56.845 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:39:55.844Z CPU=0.0% WS=72.39MB Managed=197.99MB Threads=33
[19:40:26.848 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:40:25.843Z CPU=0.0% WS=72.38MB Managed=198.98MB Threads=32
[19:40:56.845 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:40:55.845Z CPU=0.0% WS=72.39MB Managed=199.97MB Threads=33
[19:41:26.845 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:41:25.844Z CPU=0.0% WS=72.39MB Managed=193.12MB Threads=33
[19:41:56.845 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:41:55.845Z CPU=0.0% WS=72.41MB Managed=194.14MB Threads=33
[19:42:26.890 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:42:25.889Z CPU=0.0% WS=72.16MB Managed=195.14MB Threads=33
[19:42:56.890 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:42:55.888Z CPU=0.1% WS=72.17MB Managed=196.15MB Threads=32
[19:43:56.234 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:43:55.232Z CPU=0.1% WS=72.20MB Managed=197.15MB Threads=34
[19:44:26.235 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:44:25.232Z CPU=0.0% WS=72.20MB Managed=198.19MB Threads=34
[19:45:58.719 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:45:57.718Z CPU=0.1% WS=72.19MB Managed=199.21MB Threads=33
[19:46:28.719 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:46:27.719Z CPU=0.1% WS=72.19MB Managed=200.21MB Threads=33
[20:03:35.528 INF] [T:7] [PerfMonitor] Time:2026-02-02 11:03:34.530Z CPU=0.1% WS=72.20MB Managed=193.34MB Threads=34
[20:04:05.528 INF] [T:7] [PerfMonitor] Time:2026-02-02 11:04:04.529Z CPU=0.0% WS=72.23MB Managed=194.35MB Threads=33
[20:07:39.891 INF] [T:7] [PerfMonitor] Time:2026-02-02 11:07:38.890Z CPU=0.1% WS=72.23MB Managed=195.38MB Threads=33
[20:23:10.916 INF] [T:7] [PerfMonitor] Time:2026-02-02 11:23:09.917Z CPU=0.0% WS=72.80MB Managed=196.38MB Threads=32
[20:23:40.918 INF] [T:7] [PerfMonitor] Time:2026-02-02 11:23:39.916Z CPU=0.1% WS=72.83MB Managed=197.40MB Threads=34
[20:40:48.625 INF] [T:7] [PerfMonitor] Time:2026-02-02 11:40:48.625Z CPU=0.1% WS=73.66MB Managed=198.48MB Threads=34
[20:41:18.628 INF] [T:7] [PerfMonitor] Time:2026-02-02 11:41:18.628Z CPU=0.1% WS=72.98MB Managed=199.48MB Threads=33
[20:41:48.628 INF] [T:7] [PerfMonitor] Time:2026-02-02 11:41:47.629Z CPU=0.1% WS=72.97MB Managed=200.46MB Threads=32
[20:46:54.819 INF] [T:7] [PerfMonitor] Time:2026-02-02 11:46:53.819Z CPU=0.1% WS=73.05MB Managed=193.58MB Threads=33
[20:47:24.819 INF] [T:7] [PerfMonitor] Time:2026-02-02 11:47:23.818Z CPU=0.1% WS=73.11MB Managed=194.63MB Threads=33
[21:03:09.706 INF] [T:7] [PerfMonitor] Time:2026-02-02 12:03:08.706Z CPU=0.1% WS=66.97MB Managed=195.63MB Threads=33
[21:03:39.706 INF] [T:7] [PerfMonitor] Time:2026-02-02 12:03:38.706Z CPU=0.1% WS=66.23MB Managed=196.61MB Threads=32
[21:19:08.955 INF] [T:7] [PerfMonitor] Time:2026-02-02 12:19:07.956Z CPU=0.1% WS=66.36MB Managed=197.61MB Threads=33
[21:19:38.955 INF] [T:7] [PerfMonitor] Time:2026-02-02 12:19:37.954Z CPU=0.0% WS=66.34MB Managed=198.61MB Threads=32
[21:28:05.002 INF] [T:7] [PerfMonitor] Time:2026-02-02 12:28:04.002Z CPU=0.1% WS=66.38MB Managed=199.61MB Threads=33
[21:37:52.376 INF] [T:7] [PerfMonitor] Time:2026-02-02 12:37:51.375Z CPU=0.0% WS=67.50MB Managed=192.74MB Threads=34
[21:38:22.376 INF] [T:7] [PerfMonitor] Time:2026-02-02 12:38:21.376Z CPU=0.0% WS=67.47MB Managed=193.77MB Threads=33
[21:55:14.061 INF] [T:7] [PerfMonitor] Time:2026-02-02 12:55:13.061Z CPU=0.0% WS=67.69MB Managed=194.79MB Threads=33
[21:55:44.060 INF] [T:7] [PerfMonitor] Time:2026-02-02 12:55:43.059Z CPU=0.1% WS=67.70MB Managed=195.81MB Threads=33
[21:56:14.060 INF] [T:7] [PerfMonitor] Time:2026-02-02 12:56:13.057Z CPU=0.1% WS=67.72MB Managed=196.82MB Threads=34
[21:56:44.059 INF] [T:7] [PerfMonitor] Time:2026-02-02 12:56:43.057Z CPU=0.1% WS=67.67MB Managed=197.84MB Threads=33
[21:57:14.060 INF] [T:7] [PerfMonitor] Time:2026-02-02 12:57:13.059Z CPU=0.1% WS=67.66MB Managed=198.86MB Threads=32
[21:57:44.059 INF] [T:7] [PerfMonitor] Time:2026-02-02 12:57:43.058Z CPU=0.1% WS=67.69MB Managed=199.86MB Threads=33
[21:58:14.061 INF] [T:7] [PerfMonitor] Time:2026-02-02 12:58:13.060Z CPU=0.1% WS=67.72MB Managed=193.00MB Threads=33
[21:58:44.060 INF] [T:7] [PerfMonitor] Time:2026-02-02 12:58:43.059Z CPU=0.1% WS=67.75MB Managed=194.02MB Threads=33
[21:59:14.060 INF] [T:7] [PerfMonitor] Time:2026-02-02 12:59:13.060Z CPU=0.1% WS=68.02MB Managed=195.02MB Threads=33
[21:59:44.061 INF] [T:7] [PerfMonitor] Time:2026-02-02 12:59:43.058Z CPU=0.1% WS=69.50MB Managed=196.05MB Threads=34
[22:00:14.061 INF] [T:7] [PerfMonitor] Time:2026-02-02 13:00:14.061Z CPU=0.1% WS=69.50MB Managed=197.09MB Threads=33
[22:00:44.061 INF] [T:7] [PerfMonitor] Time:2026-02-02 13:00:43.060Z CPU=0.1% WS=69.50MB Managed=198.09MB Threads=33
[22:01:14.062 INF] [T:7] [PerfMonitor] Time:2026-02-02 13:01:14.061Z CPU=0.1% WS=69.50MB Managed=199.12MB Threads=33
[22:01:44.062 INF] [T:7] [PerfMonitor] Time:2026-02-02 13:01:43.061Z CPU=0.1% WS=69.55MB Managed=200.10MB Threads=34
[22:02:14.062 INF] [T:7] [PerfMonitor] Time:2026-02-02 13:02:13.062Z CPU=0.1% WS=69.55MB Managed=193.28MB Threads=33
[22:02:44.061 INF] [T:7] [PerfMonitor] Time:2026-02-02 13:02:43.062Z CPU=0.1% WS=69.56MB Managed=194.28MB Threads=33
[22:03:14.062 INF] [T:7] [PerfMonitor] Time:2026-02-02 13:03:13.062Z CPU=0.1% WS=69.58MB Managed=195.29MB Threads=33
[22:03:44.062 INF] [T:7] [PerfMonitor] Time:2026-02-02 13:03:43.061Z CPU=0.1% WS=69.58MB Managed=196.29MB Threads=33
