[17:13:23.479 INF] [T:1] [Rank] Logger setup was successful: Rank
[17:13:23.609 DBG] [T:1] [Rank] Discover commands: [3003, 3002, 3001, 3000, 1000]
[17:13:23.613 INF] [T:1] [Rank] The server Rank is initialized.
[17:13:24.056 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1, rank=2, score=30, isRewarded=false, item=[0:0:70]
[17:13:24.056 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=2, rank=1, score=40, isRewarded=false, item=[0:0:100]
[17:13:24.056 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1000001, rank=3, score=10, isRewarded=false, item=[0:0:50]
[17:13:24.056 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/12, uid=1000001, rank=1, score=30, isRewarded=false, item=[0:0:100]
[17:13:24.071 INF] [T:1] [Rank] [Daily] Season loaded. kind="Daily", num=68, state="Running", start="2026-01-27T00:00:00.0000000+09:00", end="2026-01-28T00:00:00.0000000+09:00"
[17:13:24.074 INF] [T:1] [Rank] Listener (0.0.0.0:20000:"Tcp") was started.
[17:13:24.077 INF] [T:1] [Rank] The server instance Rank was been started!
[17:13:24.131 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1, rank=2, score=30, isRewarded=false, item=[0:0:70]
[17:13:24.132 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=2, rank=1, score=40, isRewarded=false, item=[0:0:100]
[17:13:24.132 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1000001, rank=3, score=10, isRewarded=false, item=[0:0:50]
[17:13:24.132 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/12, uid=1000001, rank=1, score=30, isRewarded=false, item=[0:0:100]
[17:13:24.226 INF] [T:12] [Rank] [Daily] Next season scheduled. kind="Daily", num=69, start="2026-01-29T00:00:00.0000000+00:00", end="2026-01-30T00:00:00.0000000+00:00"
[17:13:35.484 DBG] [T:25] [Rank] A new session connected. sessionId=43d088a2-e25e-4a52-a3ab-4ed0bfed2000, remoteEndPoint=127.0.0.1:57360
[17:20:23.616 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:20:22.616Z CPU=0.0% WS=66.25MB Managed=197.32MB Threads=33
[17:20:53.617 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:20:52.617Z CPU=0.0% WS=66.41MB Managed=197.78MB Threads=33
[17:21:23.617 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:21:22.616Z CPU=0.0% WS=62.34MB Managed=198.23MB Threads=33
[17:21:53.617 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:21:52.617Z CPU=0.0% WS=64.27MB Managed=198.71MB Threads=32
[17:22:23.617 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:22:22.616Z CPU=0.0% WS=65.09MB Managed=199.18MB Threads=33
[17:22:53.617 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:22:52.617Z CPU=0.0% WS=67.95MB Managed=199.61MB Threads=32
[17:23:23.617 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:23:22.617Z CPU=0.0% WS=68.00MB Managed=200.09MB Threads=34
[17:23:53.618 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:23:52.618Z CPU=0.0% WS=78.30MB Managed=192.76MB Threads=33
[17:24:23.632 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:24:22.620Z CPU=0.0% WS=78.56MB Managed=193.24MB Threads=33
[17:24:53.619 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:24:52.617Z CPU=0.0% WS=77.44MB Managed=193.68MB Threads=32
[17:25:23.618 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:25:22.617Z CPU=0.0% WS=73.59MB Managed=194.13MB Threads=32
[17:25:53.619 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:25:52.618Z CPU=0.0% WS=71.56MB Managed=194.59MB Threads=33
[17:26:23.619 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:26:22.617Z CPU=0.0% WS=71.98MB Managed=195.06MB Threads=33
[17:26:53.619 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:26:52.617Z CPU=0.0% WS=63.80MB Managed=195.54MB Threads=33
[17:27:23.620 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:27:22.619Z CPU=0.0% WS=66.33MB Managed=196.02MB Threads=33
[17:27:53.619 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:27:52.618Z CPU=0.0% WS=66.28MB Managed=196.45MB Threads=32
[17:28:23.619 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:28:22.618Z CPU=0.0% WS=66.66MB Managed=196.92MB Threads=34
[17:28:53.619 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:28:52.619Z CPU=0.0% WS=68.67MB Managed=197.39MB Threads=33
[17:29:23.620 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:29:22.619Z CPU=0.0% WS=69.95MB Managed=197.84MB Threads=33
[17:29:53.620 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:29:52.619Z CPU=0.0% WS=70.75MB Managed=198.33MB Threads=34
[17:30:23.619 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:30:22.619Z CPU=0.0% WS=71.27MB Managed=198.78MB Threads=33
[17:30:53.619 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:30:52.619Z CPU=0.0% WS=71.75MB Managed=199.23MB Threads=33
[17:31:23.620 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:31:22.619Z CPU=0.0% WS=71.97MB Managed=199.69MB Threads=33
[17:31:53.620 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:31:52.620Z CPU=0.0% WS=72.06MB Managed=200.15MB Threads=33
[17:32:23.619 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:32:22.620Z CPU=0.0% WS=75.95MB Managed=192.96MB Threads=34
[17:32:53.621 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:32:52.620Z CPU=0.0% WS=75.95MB Managed=193.43MB Threads=34
[17:33:23.621 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:33:23.620Z CPU=0.0% WS=75.27MB Managed=193.92MB Threads=33
[17:33:53.621 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:33:52.621Z CPU=0.0% WS=75.16MB Managed=194.39MB Threads=35
[17:34:23.622 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:34:22.621Z CPU=0.0% WS=75.23MB Managed=194.87MB Threads=35
[17:34:53.621 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:34:52.621Z CPU=0.0% WS=75.23MB Managed=195.33MB Threads=33
[17:35:23.621 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:35:22.621Z CPU=0.0% WS=75.08MB Managed=195.80MB Threads=34
[17:35:53.622 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:35:52.622Z CPU=0.0% WS=75.42MB Managed=196.27MB Threads=33
[17:36:23.621 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:36:22.622Z CPU=0.0% WS=75.39MB Managed=196.69MB Threads=32
[17:36:53.622 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:36:52.621Z CPU=0.0% WS=74.88MB Managed=197.14MB Threads=33
[17:37:23.622 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:37:22.622Z CPU=0.0% WS=74.88MB Managed=197.60MB Threads=33
[17:37:53.621 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:37:52.622Z CPU=0.0% WS=74.94MB Managed=198.09MB Threads=34
[17:38:23.622 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:38:22.623Z CPU=0.0% WS=74.06MB Managed=198.53MB Threads=33
[17:38:53.622 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:38:52.623Z CPU=0.0% WS=71.12MB Managed=198.99MB Threads=33
[17:39:23.623 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:39:22.623Z CPU=0.0% WS=71.06MB Managed=199.43MB Threads=33
[17:39:53.623 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:39:52.623Z CPU=0.0% WS=71.34MB Managed=199.92MB Threads=33
[17:40:23.624 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:40:22.623Z CPU=0.0% WS=72.67MB Managed=192.73MB Threads=33
[17:40:53.622 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:40:52.623Z CPU=0.0% WS=72.28MB Managed=193.21MB Threads=32
[17:41:23.623 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:41:22.624Z CPU=0.0% WS=73.16MB Managed=193.66MB Threads=32
[17:41:53.624 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:41:52.623Z CPU=0.0% WS=70.36MB Managed=194.12MB Threads=33
[17:42:23.624 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:42:22.624Z CPU=0.0% WS=69.09MB Managed=194.59MB Threads=33
[17:42:53.624 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:42:52.623Z CPU=0.0% WS=69.47MB Managed=195.04MB Threads=33
[17:43:23.625 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:43:22.624Z CPU=0.0% WS=68.30MB Managed=195.50MB Threads=33
[17:43:53.625 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:43:52.624Z CPU=0.0% WS=70.36MB Managed=195.97MB Threads=32
[17:44:23.624 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:44:22.624Z CPU=0.0% WS=70.52MB Managed=196.43MB Threads=33
[17:44:53.625 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:44:52.624Z CPU=0.0% WS=72.23MB Managed=196.89MB Threads=32
[17:45:23.625 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:45:22.625Z CPU=0.0% WS=66.22MB Managed=197.34MB Threads=33
[17:45:53.626 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:45:52.625Z CPU=0.0% WS=66.80MB Managed=197.80MB Threads=33
[17:46:23.624 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:46:22.625Z CPU=0.0% WS=67.27MB Managed=198.26MB Threads=33
[17:46:53.626 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:46:53.626Z CPU=0.0% WS=67.75MB Managed=198.73MB Threads=33
[17:47:23.625 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:47:22.626Z CPU=0.0% WS=68.17MB Managed=199.15MB Threads=32
[17:47:53.626 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:47:52.626Z CPU=0.0% WS=63.70MB Managed=199.60MB Threads=32
[17:48:23.626 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:48:22.626Z CPU=0.0% WS=64.62MB Managed=200.05MB Threads=33
[17:48:53.626 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:48:52.626Z CPU=0.0% WS=68.55MB Managed=192.80MB Threads=32
[17:49:23.626 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:49:22.627Z CPU=0.0% WS=68.56MB Managed=193.27MB Threads=33
[17:49:53.626 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:49:52.626Z CPU=0.0% WS=68.94MB Managed=193.75MB Threads=33
[17:50:23.626 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:50:22.626Z CPU=0.0% WS=68.92MB Managed=194.18MB Threads=32
[17:50:53.627 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:50:52.627Z CPU=0.0% WS=68.95MB Managed=194.62MB Threads=33
[17:51:23.627 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:51:22.627Z CPU=0.0% WS=68.95MB Managed=195.08MB Threads=33
[17:51:53.627 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:51:52.627Z CPU=0.0% WS=70.45MB Managed=195.54MB Threads=32
[17:52:23.627 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:52:22.627Z CPU=0.0% WS=70.47MB Managed=195.99MB Threads=33
[17:52:53.628 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:52:52.628Z CPU=0.0% WS=68.55MB Managed=196.44MB Threads=33
[17:53:23.628 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:53:22.628Z CPU=0.0% WS=68.56MB Managed=196.89MB Threads=33
[17:53:53.628 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:53:53.628Z CPU=0.0% WS=68.55MB Managed=197.38MB Threads=33
[17:54:23.628 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:54:22.628Z CPU=0.0% WS=68.58MB Managed=197.82MB Threads=33
[17:54:53.628 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:54:52.627Z CPU=0.0% WS=68.59MB Managed=198.27MB Threads=34
[17:55:23.630 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:55:22.628Z CPU=0.0% WS=64.25MB Managed=198.74MB Threads=32
[17:55:53.628 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:55:52.628Z CPU=0.0% WS=64.91MB Managed=199.19MB Threads=33
[17:56:23.628 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:56:22.629Z CPU=0.0% WS=61.17MB Managed=199.66MB Threads=33
[17:56:53.628 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:56:52.629Z CPU=0.0% WS=61.59MB Managed=200.08MB Threads=32
[17:57:23.629 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:57:22.628Z CPU=0.0% WS=66.89MB Managed=192.88MB Threads=32
[17:57:53.629 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:57:52.629Z CPU=0.0% WS=67.34MB Managed=193.32MB Threads=32
[17:58:23.629 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:58:22.629Z CPU=0.0% WS=67.52MB Managed=193.77MB Threads=33
[17:58:53.630 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:58:52.630Z CPU=0.0% WS=66.59MB Managed=194.24MB Threads=33
[17:59:23.630 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:59:22.629Z CPU=0.0% WS=66.58MB Managed=194.66MB Threads=32
[17:59:53.630 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:59:52.630Z CPU=0.0% WS=66.69MB Managed=195.11MB Threads=32
[18:00:23.631 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:00:23.630Z CPU=0.0% WS=66.62MB Managed=195.59MB Threads=33
[18:00:53.630 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:00:52.630Z CPU=0.0% WS=66.88MB Managed=196.03MB Threads=33
[18:01:23.630 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:01:22.630Z CPU=0.0% WS=65.95MB Managed=196.48MB Threads=33
[18:01:53.631 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:01:52.631Z CPU=0.0% WS=66.62MB Managed=196.93MB Threads=32
[18:02:23.631 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:02:22.632Z CPU=0.0% WS=65.78MB Managed=197.37MB Threads=33
[18:02:53.630 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:02:52.631Z CPU=0.0% WS=62.73MB Managed=197.82MB Threads=32
[18:03:23.631 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:03:22.631Z CPU=0.0% WS=55.50MB Managed=198.28MB Threads=32
[18:03:53.631 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:03:52.631Z CPU=0.0% WS=56.70MB Managed=198.72MB Threads=32
[18:04:23.632 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:04:22.632Z CPU=0.0% WS=57.17MB Managed=199.18MB Threads=33
[18:04:53.632 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:04:53.631Z CPU=0.0% WS=54.95MB Managed=199.63MB Threads=33
[18:05:23.632 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:05:22.635Z CPU=0.0% WS=62.89MB Managed=200.09MB Threads=33
[18:05:53.631 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:05:52.632Z CPU=0.0% WS=68.33MB Managed=192.89MB Threads=33
[18:06:23.632 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:06:22.632Z CPU=0.0% WS=66.17MB Managed=193.35MB Threads=32
[18:06:53.631 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:06:52.632Z CPU=0.0% WS=65.09MB Managed=193.79MB Threads=32
[18:07:23.631 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:07:22.632Z CPU=0.0% WS=63.94MB Managed=194.21MB Threads=32
[18:07:53.631 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:07:52.632Z CPU=0.0% WS=55.84MB Managed=194.68MB Threads=33
[18:08:23.631 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:08:22.633Z CPU=0.0% WS=50.59MB Managed=195.14MB Threads=33
[18:08:53.632 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:08:52.633Z CPU=0.0% WS=49.61MB Managed=195.60MB Threads=33
[18:09:23.632 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:09:22.633Z CPU=0.0% WS=50.77MB Managed=196.03MB Threads=32
[18:09:53.632 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:09:52.634Z CPU=0.0% WS=53.38MB Managed=196.50MB Threads=32
[18:10:23.632 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:10:22.633Z CPU=0.0% WS=53.88MB Managed=196.96MB Threads=32
[18:10:53.633 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:10:52.633Z CPU=0.0% WS=57.39MB Managed=197.43MB Threads=32
[18:11:23.633 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:11:22.634Z CPU=0.0% WS=57.84MB Managed=197.87MB Threads=32
[18:11:53.634 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:11:53.633Z CPU=0.0% WS=58.41MB Managed=198.35MB Threads=33
[18:12:23.633 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:12:22.633Z CPU=0.0% WS=58.64MB Managed=198.79MB Threads=33
[18:12:53.633 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:12:52.634Z CPU=0.0% WS=59.16MB Managed=199.25MB Threads=33
[18:13:23.635 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:13:22.635Z CPU=0.0% WS=59.62MB Managed=199.69MB Threads=32
[18:13:53.635 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:13:53.635Z CPU=0.0% WS=61.05MB Managed=200.14MB Threads=33
[18:14:23.635 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:14:22.635Z CPU=0.0% WS=64.31MB Managed=192.98MB Threads=34
[18:14:53.634 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:14:52.635Z CPU=0.0% WS=66.06MB Managed=193.43MB Threads=33
[18:15:23.635 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:15:22.635Z CPU=0.0% WS=48.94MB Managed=193.88MB Threads=33
[18:15:53.634 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:15:52.633Z CPU=0.0% WS=59.75MB Managed=194.39MB Threads=34
[18:16:23.634 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:16:22.635Z CPU=0.0% WS=60.27MB Managed=194.86MB Threads=35
[18:16:53.634 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:16:52.634Z CPU=0.0% WS=60.97MB Managed=195.33MB Threads=33
[18:17:23.635 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:17:22.635Z CPU=0.0% WS=61.48MB Managed=195.78MB Threads=34
[18:17:53.635 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:17:52.635Z CPU=0.0% WS=62.19MB Managed=196.26MB Threads=34
[18:18:23.635 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:18:22.635Z CPU=0.0% WS=62.39MB Managed=196.71MB Threads=33
[18:18:53.635 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:18:52.635Z CPU=0.0% WS=62.77MB Managed=197.18MB Threads=33
[18:19:23.635 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:19:22.635Z CPU=0.0% WS=49.88MB Managed=197.62MB Threads=33
[18:19:53.635 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:19:52.635Z CPU=0.0% WS=51.59MB Managed=198.12MB Threads=34
[18:20:23.635 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:20:22.635Z CPU=0.0% WS=50.22MB Managed=198.57MB Threads=34
[18:20:53.635 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:20:52.635Z CPU=0.0% WS=57.16MB Managed=199.03MB Threads=32
[18:21:23.636 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:21:22.636Z CPU=0.0% WS=57.61MB Managed=199.48MB Threads=33
[18:21:53.635 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:21:52.636Z CPU=0.0% WS=57.84MB Managed=199.94MB Threads=33
[18:22:23.636 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:22:22.635Z CPU=0.0% WS=57.50MB Managed=200.40MB Threads=33
[18:22:53.635 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:22:52.636Z CPU=0.0% WS=63.27MB Managed=193.17MB Threads=34
[18:23:23.636 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:23:23.636Z CPU=0.0% WS=55.52MB Managed=193.65MB Threads=33
[18:23:53.636 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:23:52.636Z CPU=0.0% WS=54.86MB Managed=194.12MB Threads=33
[18:24:23.636 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:24:23.635Z CPU=0.0% WS=54.92MB Managed=194.60MB Threads=34
[18:24:53.636 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:24:52.636Z CPU=0.0% WS=54.52MB Managed=195.03MB Threads=33
[18:25:23.636 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:25:22.636Z CPU=0.0% WS=54.47MB Managed=195.48MB Threads=34
[18:25:53.637 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:25:52.636Z CPU=0.0% WS=51.53MB Managed=195.95MB Threads=33
[18:26:23.637 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:26:22.637Z CPU=0.0% WS=58.72MB Managed=196.42MB Threads=33
[18:26:53.637 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:26:52.637Z CPU=0.0% WS=59.20MB Managed=196.87MB Threads=33
[18:27:23.636 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:27:22.637Z CPU=0.0% WS=58.58MB Managed=197.34MB Threads=34
[18:27:53.638 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:27:52.638Z CPU=0.0% WS=59.23MB Managed=197.80MB Threads=33
[18:28:23.637 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:28:22.638Z CPU=0.0% WS=59.78MB Managed=198.28MB Threads=34
[18:28:53.638 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:28:52.638Z CPU=0.0% WS=60.38MB Managed=198.72MB Threads=33
[18:29:23.638 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:29:22.638Z CPU=0.0% WS=60.86MB Managed=199.18MB Threads=33
[18:29:53.638 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:29:52.638Z CPU=0.0% WS=61.36MB Managed=199.64MB Threads=33
[18:30:23.638 INF] [T:7] [PerfMonitor] Time:2026-01-29 09:30:22.638Z CPU=0.0% WS=61.78MB Managed=200.07MB Threads=32
